"","year","Model","Model2","Model3","Model4","Price","Milage","Autom","rul","gas","color","Other","View","Date","ID","Fullname","volume","condition","privod","url"
"336","2000","Volkswagen","Passat","</span>","2.8L","2800","104000","Automatic","Left","Gasoline","Silver","ABS","Sedan","05.09.2020","autoam 332","Volkswagen Passat </span>",NA,NA,NA,NA
"346","1998","Fiat","Brava","</span>","","2800","198000","Manual","Left","Gasoline","Golden","","Hatchback","21.06.2022","autoam 333","Fiat Brava </span>",NA,NA,NA,NA
"356","1990","BMW","525","</span>","","2800","280000","Manual","Left","Gasoline","Black","ABS","Sedan","04.11.2021","autoam 334","BMW 525 </span>",NA,NA,NA,NA
"366","1996","Hyundai","H","100","100 Minivan","2800","1000","Manual","Left","Diesel","Cherry","","Minibus","08.01.2022","autoam 335","Hyundai H 100",NA,NA,NA,NA
"376","1996","Mercedes-Benz","C","180","180 W202","2500","357000","Automatic","Left","Gas","Green","","Sedan","15.05.2021","autoam 336","Mercedes-Benz C 180",NA,NA,NA,NA
"386","1992","BMW","525","</span>","","2750","300000","Manual","Left","Gasoline","Silver","2.5","Sedan","29.01.2021","autoam 337","BMW 525 </span>",NA,NA,NA,NA
"396","1997","BMW","318","</span>","Sport","2500","250000","Manual","Left","Gasoline","Black","","Sedan","20.06.2021","autoam 338","BMW 318 </span>",NA,NA,NA,NA
"406","1994","BMW","318","</span>","","3200","330000","Manual","Left","Gasoline","Black","ABS","Sedan","09.06.2022","autoam 339","BMW 318 </span>",NA,NA,NA,NA
"4110","1996","Volkswagen","Passat","</span>","","2700","180000","Manual","Left","Gasoline","Black","ABS","Sedan","14.12.2020","autoam 340","Volkswagen Passat </span>",NA,NA,NA,NA
"426","1996","Volkswagen","Vento","</span>","18","2700","283000","Manual","Left","Gas","Silver","","Sedan","04.01.2021","autoam 341","Volkswagen Vento </span>",NA,NA,NA,NA
"436","1996","Mercedes-Benz","180","</span>","1.8 matror","2700","2400","Manual","Left","Gas","Gray","ABS","Sedan","29.11.2020","autoam 342","Mercedes-Benz 180 </span>",NA,NA,NA,NA
"446","1993","BMW","525","</span>","2.5","2700","300000","Automatic","Left","Gas","Cherry","ABS","Sedan","16.02.2021","autoam 343","BMW 525 </span>",NA,NA,NA,NA
"456","1998","BMW","520","</span>","E39","2700","350000","Manual","Left","Gas","Cherry","ABS","Sedan","14.12.2020","autoam 344","BMW 520 </span>",NA,NA,NA,NA
"466","1992","BMW","525","</span>","2.5 gaz benzin","2700","25000","Automatic","Left","Gas","Cherry","ABS","Sedan","24.11.2020","autoam 345","BMW 525 </span>",NA,NA,NA,NA
"476","1996","Volkswagen","Passat","</span>","","2700","190000","Manual","Left","Gasoline","Black","ABS","Sedan","14.12.2020","autoam 346","Volkswagen Passat </span>",NA,NA,NA,NA
"486","1994","Mercedes-Benz","C","180","180","2700","218000","Manual","Left","Gasoline","Silver","ABS","Sedan","10.01.2021","autoam 347","Mercedes-Benz C 180",NA,NA,NA,NA
"496","1999","Mercedes-Benz","190","</span>","","2700","210000","Manual","Left","Gas","Black","<span style=""background-color:#000000""></span>Black","Sedan","08.05.2022","autoam 348","Mercedes-Benz 190 </span>",NA,NA,NA,NA
"506","2000","Volkswagen","Golf","</span>","MK4","3000","300","Manual","Left","Gas","Gray","","Hatchback","16.06.2022","autoam 349","Volkswagen Golf </span>",NA,NA,NA,NA
"516","1998","Volkswagen","Golf","</span>","","2700","170000","Manual","Left","Gasoline","Silver","","Hatchback","02.05.2022","autoam 350","Volkswagen Golf </span>",NA,NA,NA,NA
"227","1999","Volkswagen","Bora","</span>","","2600","190000","Automatic","Left","Gasoline","Gray","<span style=""background-color:#592f00""></span>Brown","Sedan","08.01.2021","autoam 351","Volkswagen Bora </span>",NA,NA,NA,NA
"327","1995","Volkswagen","Golf","</span>","","2600","211000","Manual","Left","Gas","Silver","","Hatchback","12.12.2021","autoam 352","Volkswagen Golf </span>",NA,NA,NA,NA
"427","1998","Volkswagen","Golf","</span>","","2500","200000","Automatic","Left","Gas","Silver","ABS","Hatchback","10.07.2021","autoam 353","Volkswagen Golf </span>",NA,NA,NA,NA
"58","1992","BMW","520","</span>","","2500","350000","Manual","Left","Gas","Silver","Heated Mirrors","Sedan","28.01.2022","autoam 354","BMW 520 </span>",NA,NA,NA,NA
"67","1991","Mercedes-Benz","190","</span>","","2500","41219","Manual","Left","Gasoline","Gray","<span style=""background-color:#000000""></span>Black","Sedan","28.07.2021","autoam 355","Mercedes-Benz 190 </span>",NA,NA,NA,NA
"77","1993","Volkswagen","Golf","</span>","","2500","190000","Manual","Left","Gas","Sky-blue","","Hatchback","08.02.2022","autoam 356","Volkswagen Golf </span>",NA,NA,NA,NA
"87","1996","BMW","518","</span>","","2500","200000","Manual","Left","Gas","Gray","ABS","Sedan","16.05.2019","autoam 357","BMW 518 </span>",NA,NA,NA,NA
